appointment_id,date,day_of_week,hour_of_day,barber_id,service_type,service_duration_min,booking_channel,lead_time_days,is_returning_customer,previous_no_shows,total_previous_visits,reminder_sent,no_show
APT-0001,2024-01-03,2,0.5555555555555554,2,2,45,0,0.2857142857142857,1,0.0,0.7368421052631579,1,0
APT-0002,2024-01-04,3,0.2222222222222221,3,0,20,1,0.07142857142857142,1,1.0,0.894736842105263,0,0
APT-0003,2024-01-04,3,0.2222222222222221,1,1,30,1,0.3571428571428571,0,0.0,0.0,1,0
APT-0004,2024-01-09,1,0.33333333333333326,1,0,20,1,0.14285714285714285,1,1.0,0.2631578947368421,1,1
APT-0005,2024-01-09,1,0.5555555555555554,2,1,30,0,0.07142857142857142,1,0.5,0.05263157894736842,1,0
APT-0006,2024-01-10,2,0.2222222222222221,1,0,20,0,0.3571428571428571,1,0.5,0.5263157894736842,1,0
APT-0007,2024-01-10,2,1.0,2,0,20,0,0.42857142857142855,1,0.0,0.5263157894736842,1,0
APT-0008,2024-01-10,2,0.4444444444444444,1,1,30,0,0.7142857142857142,1,0.5,0.05263157894736842,1,0
APT-0009,2024-01-11,3,0.8888888888888888,0,1,30,1,0.5714285714285714,1,0.0,0.6842105263157894,1,0
APT-0010,2024-01-11,3,0.6666666666666665,2,0,20,0,0.7142857142857142,1,0.5,0.05263157894736842,1,1
APT-0011,2024-01-12,4,0.33333333333333326,0,1,30,1,0.5714285714285714,1,0.5,0.8421052631578947,1,0
APT-0012,2024-01-13,5,0.2222222222222221,0,2,45,1,0.5,1,0.5,0.7368421052631579,1,0
APT-0013,2024-01-13,5,0.7777777777777777,2,0,20,2,0.0,0,0.0,0.0,1,0
APT-0014,2024-01-15,0,0.33333333333333326,2,0,20,0,0.42857142857142855,1,0.5,0.15789473684210525,1,0
APT-0015,2024-01-15,0,0.2222222222222221,3,1,30,0,0.07142857142857142,1,1.0,0.894736842105263,1,0
APT-0016,2024-01-16,1,1.0,0,0,20,0,0.07142857142857142,1,1.0,0.5789473684210527,0,0
APT-0017,2024-01-16,1,0.4444444444444444,0,2,45,0,0.14285714285714285,1,0.0,0.894736842105263,0,0
APT-0018,2024-01-18,3,0.0,3,1,30,0,0.6428571428571428,1,0.5,0.7368421052631579,1,1
APT-0019,2024-01-20,5,0.4444444444444444,0,1,30,1,0.5714285714285714,1,1.0,0.6842105263157894,1,0
APT-0020,2024-01-23,1,0.4444444444444444,0,1,30,0,0.8571428571428571,0,0.0,0.0,1,0
APT-0021,2024-01-23,1,0.8888888888888888,0,1,30,0,0.9285714285714285,0,0.0,0.0,0,1
APT-0022,2024-01-25,3,0.7777777777777777,1,0,20,0,0.7857142857142857,1,0.0,0.47368421052631576,1,0
APT-0023,2024-01-25,3,0.11111111111111116,3,1,30,1,0.07142857142857142,1,1.0,0.894736842105263,0,0
APT-0024,2024-01-26,4,0.11111111111111116,2,0,20,2,0.7142857142857142,0,0.0,0.0,1,0
APT-0025,2024-01-27,5,0.6666666666666665,2,1,30,1,0.6428571428571428,0,0.0,0.0,1,0
APT-0026,2024-01-29,0,0.0,0,1,30,1,0.7142857142857142,0,0.0,0.0,1,0
APT-0027,2024-02-01,3,0.33333333333333326,1,1,30,1,0.14285714285714285,1,0.0,0.10526315789473684,1,0
APT-0028,2024-02-01,3,0.11111111111111116,1,2,45,1,0.07142857142857142,1,0.5,0.3157894736842105,0,0
APT-0029,2024-02-01,3,0.0,0,0,20,0,0.8571428571428571,1,1.0,0.2631578947368421,0,0
APT-0030,2024-02-05,0,1.0,0,1,30,1,0.14285714285714285,0,0.0,0.0,1,0
APT-0031,2024-02-07,2,0.0,1,0,20,1,0.21428571428571427,0,0.0,0.0,1,0
