appointment_id,date,day_of_week,hour_of_day,barber_id,service_type,service_duration_min,booking_channel,lead_time_days,is_returning_customer,previous_no_shows,total_previous_visits,reminder_sent,no_show
APT-0001,2024-01-03,Wednesday,14,B03,combo,45,app,4,1,0,14,1,0
APT-0002,2024-01-04,Thursday,11,B04,beard_trim,20,phone,1,1,2,17,0,0
APT-0003,2024-01-04,Thursday,11,B02,haircut,30,phone,5,0,0,0,1,0
APT-0004,2024-01-09,Tuesday,12,B02,beard_trim,20,phone,2,1,2,5,1,1
APT-0005,2024-01-09,Tuesday,14,B03,haircut,30,app,1,1,1,1,1,0
APT-0006,2024-01-10,Wednesday,11,B02,beard_trim,20,app,5,1,1,10,1,0
APT-0007,2024-01-10,Wednesday,18,B03,beard_trim,20,app,6,1,0,10,1,0
APT-0008,2024-01-10,Wednesday,13,B02,haircut,30,app,10,1,1,1,1,0
APT-0009,2024-01-11,Thursday,17,B01,haircut,30,phone,8,1,0,13,1,0
APT-0010,2024-01-11,Thursday,15,B03,beard_trim,20,app,10,1,1,1,1,1
APT-0011,2024-01-12,Friday,12,B01,haircut,30,phone,8,1,1,16,1,0
APT-0012,2024-01-13,Saturday,11,B01,combo,45,phone,7,1,1,14,1,0
APT-0013,2024-01-13,Saturday,16,B03,beard_trim,20,walk-in,0,0,0,0,1,0
APT-0014,2024-01-15,Monday,12,B03,beard_trim,20,app,6,1,1,3,1,0
APT-0015,2024-01-15,Monday,11,B04,haircut,30,app,1,1,2,17,1,0
APT-0016,2024-01-16,Tuesday,18,B01,beard_trim,20,app,1,1,2,11,0,0
APT-0017,2024-01-16,Tuesday,13,B01,combo,45,app,2,1,0,17,0,0
APT-0018,2024-01-18,Thursday,9,B04,haircut,30,app,9,1,1,14,1,1
APT-0019,2024-01-20,Saturday,13,B01,haircut,30,phone,8,1,2,13,1,0
APT-0020,2024-01-23,Tuesday,13,B01,haircut,30,app,12,0,0,0,1,0
APT-0021,2024-01-23,Tuesday,17,B01,haircut,30,app,13,0,0,0,0,1
APT-0022,2024-01-25,Thursday,16,B02,beard_trim,20,app,11,1,0,9,1,0
APT-0023,2024-01-25,Thursday,10,B04,haircut,30,phone,1,1,2,17,0,0
APT-0024,2024-01-26,Friday,10,B03,beard_trim,20,walk-in,10,0,0,0,1,0
APT-0025,2024-01-27,Saturday,15,B03,haircut,30,phone,9,0,0,0,1,0
APT-0026,2024-01-29,Monday,9,B01,haircut,30,phone,10,0,0,0,1,0
APT-0027,2024-02-01,Thursday,12,B02,haircut,30,phone,2,1,0,2,1,0
APT-0028,2024-02-01,Thursday,10,B02,combo,45,phone,1,1,1,6,0,0
APT-0029,2024-02-01,Thursday,9,B01,beard_trim,20,app,12,1,2,5,0,0
APT-0030,2024-02-05,Monday,18,B01,haircut,30,phone,2,0,0,0,1,0
APT-0031,2024-02-07,Wednesday,9,B02,beard_trim,20,phone,3,0,0,0,1,0
APT-0032,2024-02-08,Thursday,9,B01,haircut,30,app,4,0,0,0,0,0
APT-0033,2024-02-08,Thursday,18,B02,haircut,30,phone,1,1,1,5,1,1
APT-0034,2024-02-09,Friday,10,B03,haircut,30,phone,0,0,0,0,1,0
APT-0035,2024-02-10,Saturday,17,B01,combo,45,phone,14,0,0,0,1,0
APT-0036,2024-02-10,Saturday,9,B02,beard_trim,20,app,10,1,0,8,1,0
APT-0037,2024-02-12,Monday,10,B03,beard_trim,20,phone,11,1,0,12,1,0
APT-0038,2024-02-14,Wednesday,10,B03,haircut,30,walk-in,3,1,2,14,0,1
APT-0039,2024-02-14,Wednesday,16,B03,haircut,30,app,2,0,0,0,0,0
APT-0040,2024-02-14,Wednesday,15,B02,beard_trim,20,app,4,0,0,0,1,0
APT-0041,2024-02-14,Wednesday,13,B03,haircut,30,app,4,1,2,10,1,0
APT-0042,2024-02-21,Wednesday,11,B01,combo,45,app,0,1,0,6,1,0
APT-0043,2024-02-21,Wednesday,9,B02,beard_trim,20,walk-in,8,1,2,5,0,0
APT-0044,2024-02-22,Thursday,14,B01,haircut,30,phone,14,1,1,19,1,0
APT-0045,2024-02-24,Saturday,11,B02,beard_trim,20,app,5,1,0,12,1,0
APT-0046,2024-02-26,Monday,14,B02,combo,45,app,3,0,0,0,1,0
APT-0047,2024-02-27,Tuesday,15,B01,haircut,30,walk-in,4,1,1,9,1,0
APT-0048,2024-03-02,Saturday,17,B03,beard_trim,20,app,1,0,0,0,0,0
APT-0049,2024-03-02,Saturday,13,B02,combo,45,phone,2,0,0,0,1,0
APT-0050,2024-03-04,Monday,9,B01,haircut,30,app,5,0,0,0,1,0
APT-0051,2024-03-05,Tuesday,11,B01,combo,45,app,4,1,2,4,1,0
APT-0052,2024-03-05,Tuesday,17,B02,haircut,30,phone,5,1,0,10,1,0
APT-0053,2024-03-06,Wednesday,14,B02,beard_trim,20,app,10,0,0,0,1,0
APT-0054,2024-03-06,Wednesday,15,B02,beard_trim,20,phone,2,0,0,0,0,1
APT-0055,2024-03-07,Thursday,13,B01,beard_trim,20,app,0,1,1,1,1,0
APT-0056,2024-03-12,Tuesday,10,B03,haircut,30,phone,0,1,1,16,1,0
APT-0057,2024-03-13,Wednesday,17,B04,beard_trim,20,phone,1,0,0,0,1,0
APT-0058,2024-03-13,Wednesday,16,B02,haircut,30,phone,5,0,0,0,1,0
APT-0059,2024-03-13,Wednesday,18,B03,haircut,30,app,9,1,1,12,1,0
APT-0060,2024-03-14,Thursday,17,B04,haircut,30,phone,11,1,2,2,1,0
APT-0061,2024-03-14,Thursday,11,B04,beard_trim,20,walk-in,6,1,1,7,0,0
APT-0062,2024-03-15,Friday,11,B03,haircut,30,app,4,0,0,0,1,0
APT-0063,2024-03-16,Saturday,11,B04,haircut,30,app,2,0,0,0,0,1
APT-0064,2024-03-18,Monday,18,B04,combo,45,walk-in,4,1,0,18,0,1
APT-0065,2024-03-18,Monday,14,B03,haircut,30,app,3,0,0,0,1,0
APT-0066,2024-03-19,Tuesday,13,B02,haircut,30,phone,10,1,2,8,1,1
APT-0067,2024-03-19,Tuesday,18,B01,haircut,30,phone,4,0,0,0,1,1
APT-0068,2024-03-20,Wednesday,15,B01,haircut,30,app,2,1,1,17,1,0
APT-0069,2024-03-20,Wednesday,18,B02,beard_trim,20,phone,3,1,1,6,1,0
APT-0070,2024-03-25,Monday,18,B02,haircut,30,phone,1,1,2,9,1,0
APT-0071,2024-03-27,Wednesday,9,B02,haircut,30,app,11,1,0,2,1,0
APT-0072,2024-03-27,Wednesday,12,B02,combo,45,walk-in,1,1,2,6,1,0
APT-0073,2024-03-27,Wednesday,16,B02,combo,45,app,0,0,0,0,1,0
APT-0074,2024-03-29,Friday,17,B03,beard_trim,20,app,2,1,1,18,1,0
APT-0075,2024-03-30,Saturday,10,B01,combo,45,walk-in,9,0,0,0,1,0
APT-0076,2024-03-30,Saturday,12,B01,combo,45,app,5,1,1,11,0,0
APT-0077,2024-04-01,Monday,14,B03,haircut,30,walk-in,6,1,1,17,1,0
APT-0078,2024-04-01,Monday,16,B03,beard_trim,20,app,3,0,0,0,0,0
APT-0079,2024-04-03,Wednesday,10,B04,beard_trim,20,phone,1,0,0,0,0,0
APT-0080,2024-04-04,Thursday,15,B04,haircut,30,app,10,1,1,1,0,0
APT-0081,2024-04-05,Friday,11,B04,haircut,30,phone,2,0,0,0,0,0
APT-0082,2024-04-06,Saturday,11,B02,haircut,30,phone,0,1,0,3,1,0
APT-0083,2024-04-08,Monday,14,B02,beard_trim,20,walk-in,5,0,0,0,1,0
APT-0084,2024-04-08,Monday,13,B01,beard_trim,20,walk-in,1,1,0,3,1,0
APT-0085,2024-04-08,Monday,15,B03,beard_trim,20,phone,1,1,1,14,1,0
APT-0086,2024-04-10,Wednesday,12,B04,haircut,30,phone,9,1,0,7,1,0
APT-0087,2024-04-12,Friday,17,B02,haircut,30,phone,5,0,0,0,0,0
APT-0088,2024-04-12,Friday,9,B02,haircut,30,walk-in,2,1,0,12,0,0
APT-0089,2024-04-16,Tuesday,17,B01,beard_trim,20,phone,3,1,1,1,1,1
APT-0090,2024-04-16,Tuesday,9,B01,combo,45,walk-in,7,1,2,6,1,0
APT-0091,2024-04-16,Tuesday,16,B01,combo,45,app,1,1,1,1,1,0
APT-0092,2024-04-17,Wednesday,12,B01,combo,45,phone,1,1,0,2,1,0
APT-0093,2024-04-22,Monday,12,B04,combo,45,phone,6,1,2,9,1,0
