epoch,step,test_r2,val_loss
0,9,,367.5513610839844
1,19,,227.36129760742188
2,29,,197.06997680664062
3,39,,105.46102905273438
4,49,,104.11676025390625
5,59,,87.01519012451172
6,69,,82.3699951171875
7,79,,77.96363067626953
8,89,,74.98004913330078
9,99,,71.14938354492188
10,109,,68.57879638671875
11,119,,67.0718765258789
12,129,,65.36792755126953
13,139,,63.275917053222656
14,149,,62.527503967285156
15,159,,60.81074142456055
16,169,,59.73569869995117
17,179,,58.97541427612305
18,189,,58.04472732543945
19,199,,57.353939056396484
20,209,,57.31801223754883
21,219,,55.96677017211914
22,229,,55.50090026855469
23,239,,54.808406829833984
24,249,,54.31496047973633
25,259,,54.15842056274414
26,269,,53.604400634765625
27,279,,53.219268798828125
28,289,,52.893856048583984
29,299,,52.25864791870117
30,309,,51.86545181274414
31,319,,51.42576599121094
32,329,,51.05034637451172
33,339,,51.05704879760742
34,349,,50.66010665893555
35,359,,50.40880584716797
36,369,,49.920650482177734
37,379,,49.51821517944336
38,389,,48.98415756225586
39,399,,48.552093505859375
40,409,,48.34115219116211
41,419,,47.911659240722656
42,429,,47.86359786987305
43,439,,47.49888610839844
44,449,,47.37214660644531
45,459,,46.906883239746094
46,469,,46.39748001098633
47,479,,45.90281677246094
48,489,,45.757511138916016
49,499,,45.346832275390625
50,509,,45.04807662963867
51,519,,44.6282958984375
52,529,,44.7545166015625
53,539,,43.899871826171875
54,549,,44.27857208251953
55,559,,43.14262771606445
56,569,,42.838985443115234
57,579,,42.652740478515625
58,589,,42.203426361083984
59,599,,42.29425811767578
60,609,,41.88119125366211
61,619,,41.57004928588867
62,629,,41.4948616027832
63,639,,40.5106315612793
64,649,,40.4072380065918
65,659,,40.10327911376953
66,669,,39.94654083251953
67,679,,39.70056915283203
68,689,,38.996334075927734
69,699,,38.82691955566406
70,709,,38.51424789428711
71,719,,38.9907341003418
72,729,,37.98524856567383
73,739,,37.985076904296875
74,749,,38.090431213378906
75,759,,37.178340911865234
76,769,,36.810997009277344
77,779,,36.53889083862305
78,789,,36.87757873535156
79,799,,36.145198822021484
80,809,,36.385589599609375
81,819,,36.7402458190918
82,829,,35.85200119018555
83,839,,35.158573150634766
84,849,,34.8656005859375
85,859,,34.68050003051758
86,869,,36.71391296386719
87,879,,34.29025650024414
88,889,,34.07705307006836
89,899,,34.395999908447266
90,909,,34.227935791015625
91,919,,33.456424713134766
92,929,,33.705596923828125
93,939,,32.92686080932617
94,949,,32.9898796081543
95,959,,33.299224853515625
96,969,,32.59456253051758
97,979,,33.0634880065918
98,989,,32.0880012512207
99,999,,32.0576286315918
100,1009,,31.62529182434082
101,1019,,32.443084716796875
102,1029,,31.3720703125
103,1039,,31.603229522705078
104,1049,,32.82727813720703
105,1059,,30.797033309936523
106,1069,,31.473514556884766
107,1079,,32.552764892578125
108,1089,,31.881778717041016
109,1090,0.6255152225494385,
